dwell           dwell lewd
dwelt           dwelt lewd
eat             ta eat
ebb             ebb be
eclat           talc eclat
edits           edits tide
eels            eels lee
effaced         decaff effaced
eke             eke
eked            eked eke
ekes            ekes eke
elan            elan ale
elapses         elapses pale
elite           elite tile
elope           elope pole
emir            rim emir
emits           emits time
emote           emote tome
emu             emu me, um emu
emus            sum emus
enact           enact cane
encases         encases acne
enema           amen enema, am enema
eon             no eon
epees           seep epees
epoch           epoch cope
era             era re
eras            eras are
erases          erases are
ere             ere, ere re, er ere
eroded          eroded ore
err             err re
error           error re
erupt           erupt pure
esteem          meets esteem
euro            euro rue
eve             eve
even            even eve
evened          den evened
ever            ever eve, rev ever
eves            eves eve
evils           evils live
ewe             ewe, ewe we
ewer            ewer ewe
ewes            ewes ewe, sew ewes
exam            exam axe, max exam
exes            sex exes
eye             eye, eye ye
eyed            eyed eye
eyes            eyes eye
fare            era fare
fares           sera fares
fat             ta fat
fecal           lace fecal
feel            lee feel
fees            see fees
feet            tee feet
felines         senile felines
fern            fern ref
feta            ate feta
fetal           late fetal
feud            due feud
few             we few
fey             ye fey
fib             fib if
fig             fig if
filed           deli filed
fill            fill if
fin             fin if
fir             fir if
fists           fists if
fit             fit if, ti fit
fix             fix if
fizz            fizz if
flack           flack calf
flag            gal flag
flap            pal flap
flea            flea elf
fled            fled elf
flee            flee elf, eel flee
fleece          fleece elf
fleets          steel fleets
flesh           flesh self
flew            flew elf
flex            flex elf
flit            til flit
flogs           flogs golf
flown           flown wolf
flows           flows wolf
fob             fob of
foe             foe of
fog             fog of, go fog
fool            loo fool
foot            too foot
fop             fop of
for             for of
forever         forever of
fox             fox of
frail           liar frail
frat            tar frat
frats           star frats
freed           deer freed
frees           seer frees
fresh           fresh serf
fume            emu fume
gabs            gabs bag
gadded          gadded dag
gads            gads dag
gaff            gaff fag
gag             gag
gaga            gaga gag
gage            gage gag
gags            gags gag
gala            gala lag
gale            gale lag
gall            gall lag
gals            gals lag
game            game mag
gamete          gamete mag
gang            gang nag
gap             pa gap
gaps            spa gaps
garb            garb rag, bra garb
gardened        gardened rag
gash            gash sag
gasp            gasp sag
gasses          gasses sag
gate            gate tag
gator           rota gator
gawd            gawd wag
gawk            gawk wag
gawp            gawp wag
gees            see gees
geld            geld leg
gelded          gelded leg
gels            gels leg
gem             me gem
